X,Y,fname,apparent_displacement,vertical_displacement
517873.43954899284,7501235.941138338,Fault_14378,-158,32
518839.3087217496,7499930.939910488,Fault_14378,-246,92
518959.73934571334,7499542.451161015,Fault_14378,-158,63
519103.0915856652,7499079.938515905,Fault_14378,-284,124
519252.20101762953,7498679.952354822,Fault_14378,-223,102
547057.7754358968,7512183.625658537,Fault_12658,0,0
547817.7800324761,7511359.139636834,Fault_12658,-344,110
546760.3833339058,7510983.120992073,Fault_5484,0,0
511514.10733778815,7511925.371078121,Fault_12660,-570,383
512273.44115307153,7511131.88180846,Fault_12660,-588,347
514456.2688433805,7510126.912080837,Fault_12660,1820,1043
514970.8490300996,7510003.421793655,Fault_12660,529,215
515762.9211224568,7509734.929779945,Fault_12660,379,61
518912.7777273635,7509330.469264088,Fault_12660,1401,458
512605.0284527596,7509984.392240064,Fault_15552,216,241
510875.4119368167,7511343.371012421,Fault_15552,737,519
521012.04004505445,7512605.499643788,Fault_16769,-1411,1017
518681.6004059641,7513163.460244864,Fault_16769,985,928
522459.52917789505,7512088.520967374,Fault_2248,0,0
520542.46265293984,7514160.968576635,Fault_2248,1038,767
520542.46265293984,7514160.968576635,Fault_2248,-891,686
530138.8290126391,7522027.22967919,Fault_8973,0,0
531297.7011235664,7520983.249538943,Fault_8973,445,52
523915.55110906495,7455865.950145574,Fault_16896,0,0
521665.87118665513,7459585.56185983,Fault_16896,950,449
519650.27906279016,7463114.608824668,Fault_16896,1449,413
519030.03021542,7463741.600689663,Fault_16896,1492,373
518675.8887373888,7463887.082293563,Fault_16896,1243,282
530558.4397288932,7460801.949979135,Fault_16397,1783,781
513601.19255641365,7464444.559932593,Fault_16502,1052,312
500559.5409308102,7468408.782807809,Fault_14303,-216,10
503054.6651444675,7467295.609807376,Fault_16739,0,0
504021.76040076616,7469372.886801163,Fault_16742,-203,18
597762.6592038702,7469640.811389234,Fault_16744,-601,68
584777.5682712365,7470875.209879808,Fault_16744,724,235
583879.2013279559,7470960.210115191,Fault_16744,709,261
575148.1383098608,7470941.430903065,Fault_16744,2753,788
575148.1383098608,7470941.430903065,Fault_16744,699,199
572502.2000885112,7470847.411216749,Fault_16744,1177,248
565163.6995513467,7472990.830922745,Fault_16744,-256,20
512928.91954483476,7469904.011371881,Fault_16816,0,0
544729.9803927952,7458719.990239686,Fault_7344,-296,14
544729.9803927952,7458719.990239686,Fault_7344,-29598,924
539162.7599053222,7463113.200466163,Fault_7344,894,525
539162.7599053222,7463113.200466163,Fault_7344,-32595,18528
531591.3410342024,7465353.352717308,Fault_7344,3819,1078
511878.16762796283,7478934.82118046,Fault_7344,32433,6231
511878.16762796283,7478934.82118046,Fault_7344,-1235,98
507962.9394678552,7487395.7705112565,Fault_7344,-1048,275
507346.579687172,7488824.7797764875,Fault_7344,-3488,912
507038.6210941044,7489590.281118736,Fault_7344,-3131,809
506693.3199248874,7490533.769389339,Fault_7344,-3700,893
506417.2578050838,7491318.281426178,Fault_7344,-3586,1151
504894.1120782016,7494629.769137943,Fault_7344,-2684,638
503550.6392784068,7496953.770195037,Fault_7344,-1172,459
501514.12964495225,7499307.258026048,Fault_7344,-1036,397
566878.1801846734,7479705.920049342,Fault_6519,1476,128
567512.6213518946,7479390.4296213295,Fault_6519,708,55
568367.6804217957,7478666.431831886,Fault_6519,0,0
503022.3994649796,7476901.770422548,Fault_958,739,63
