X,Y,formation,thickness,cl,cm,meanl,meanm,meann,p1x,p1y,p2x,p2y,dip
583344.8962385039,7465479.9546254,A_FO_od,160,0.12898920623129514,-0.9916459976603648,0.05310091678216717,0.18536015151117308,0.976569536968645,585824.0112326548,7465802.427640978,580865.7812443529,7465157.481609821,12.427383736707583
583418.5447945765,7466246.719777811,A_FO_od,191,-0.2960529214044778,-0.9551715383782508,0.04051328691701044,0.19027738388484508,0.9764298970828054,585806.4736405221,7465506.5874743005,581030.6159486308,7466986.852081322,12.464507130208347
583873.9455741467,7467065.229582572,A_FO_od,251,-0.5395418895091497,-0.8419587575795482,0.02095054806574361,0.18887749820547414,0.9769266169943447,585978.8424680956,7465716.374858799,581769.0486801978,7468414.084306345,12.331953441961673
588162.6937327634,7455497.831023506,A_FO_od,198,0.6899781790346871,-0.7238301682411263,0.010626853221797605,0.07203952238893287,0.9924957617791886,589972.2691533662,7457222.776471092,586353.1183121606,7453772.885575919,7.023650588110442
587792.0201476852,7455882.574797207,A_FO_od,192,0.7962190056412691,-0.6050085082506104,0.020703721290061296,0.0761036686914327,0.9916163725014799,589304.5414183118,7457873.12231131,586279.4988770586,7453892.027283103,7.424333943001159
587502.2439652882,7456039.569724865,A_FO_od,306,0.9982341326405278,0.05940215847436114,0.035268607021255366,0.07185269687234602,0.9911799245118864,587353.7385691023,7458535.155056466,587650.7493614741,7453543.984393264,7.615413822137242
587165.1794499039,7455621.055680447,A_FO_od,296,-0.6127306405828292,0.7902918208427542,-0.001452623965954911,0.0774202864207471,0.990977155500374,585189.449897797,7454089.22907899,589140.9090020108,7457152.882281904,7.7025842233309305
585408.4344733602,7476958.789405141,A_FO_od,1149,-0.19627959519187568,0.980547969510576,0.34548659676611576,0.3927720620823153,0.7805173959030937,582957.0645495837,7476468.090417162,587859.8043971367,7477449.4883931205,38.69202787840139
585631.9545068354,7476551.290812736,A_FO_od,1419,-0.39396964612443697,0.9191234508664142,0.24837458441698082,0.3884821581354836,0.80774576584173,583334.1458796693,7475566.366697425,587929.7631340015,7477536.214928048,36.12373226389481
585503.6151168044,7476065.77350531,A_FO_od,1058,0.3512024000145677,0.9362995643617524,0.17695800360704333,0.4328812279370212,0.8231762334417501,583162.8662059,7476943.779505346,587844.3640277088,7475187.767505273,34.59597740189089
585378.819983888,7475749.480445932,A_FO_od,1108,0.3128952045157369,0.949787655737352,0.1183383648679221,0.4388801690332217,0.8322447494870904,583004.3508445446,7476531.718457221,587753.2891232313,7474967.242434642,33.66997669041443
585309.755331652,7475424.015288614,A_FO_od,954,0.029586344862573312,0.9995622282767956,0.056718826693051165,0.42778439707853044,0.8529854782040691,582810.84976096,7475497.981150771,587808.660902344,7475350.049426457,31.462113373454066
585376.9542884263,7474837.753642373,A_FO_od,577,-0.2934917486323984,0.9559616067001316,-0.01092994866387703,0.4109947341301111,0.8686621746061317,582987.050271676,7474104.024270792,587766.8583051766,7475571.483013954,29.696454207709223
585989.6365778082,7473956.235675499,A_FO_od,570,-0.7439174560460169,0.6682715156207263,-0.11649251956045897,0.34330775050340956,0.8992964842476867,584318.9577887564,7472096.442035384,587660.31536686,7475816.029315614,25.934253235252925
586413.5255689216,7473498.98503066,A_FO_od,580,-0.4885084266430274,0.8725591768463351,-0.12712910828057855,0.3201032342484982,0.9083136697646726,584232.1276268058,7472277.7139640525,588594.9235110374,7474720.256097268,24.72665642121028
586512.3904523713,7472893.72436341,A_FO_od,527,0.07129901435639936,0.9974549867296298,-0.17470637235419628,0.286344528751222,0.9267859073823346,584018.7529855473,7473071.971899301,589006.0279191954,7472715.476827519,22.060785908208956
586493.0100790011,7472164.9685543515,A_FO_od,302,-0.027317888157897253,0.9996267968530016,-0.12835937213645346,0.2603967498041352,0.9426564661222034,583993.9430868686,7472096.673833957,588992.0770711335,7472233.263274746,19.497429470515613
586604.4149853082,7471524.96090999,A_FO_od,356,-0.3366227550459125,0.9416395917681558,-0.13928092286510074,0.24638360798216036,0.9477040255230433,584250.3160058878,7470683.404022375,588958.5139647286,7472366.517797604,18.61156214473222
586798.3441601829,7470967.708954417,A_FO_od,649,-0.2630842268215561,0.9647728694349276,-0.08418178373492918,0.23144813287679378,0.9605281520278367,584386.4119865956,7470309.998387363,589210.2763337701,7471625.4195214715,16.15177831750151
586583.710522512,7470674.572293287,A_FO_od,289,0.2428721717943901,0.9700583014272268,-0.062040672342136394,0.22785964364419914,0.9647667911295346,584158.5647689439,7471281.752722773,589008.85627608,7470067.3918638015,15.254471973561621
586557.1909428543,7470271.959753517,A_FO_od,546,-0.07141627716893653,0.9974465977461296,-0.0560576080366004,0.22646153328061558,0.9655538975768446,584063.574448489,7470093.419060594,589050.8074372195,7470450.50044644,15.08211572725024
586631.4239957011,7469576.46089443,A_FO_od,533,-0.15588338385958814,0.9877754656988016,-0.006891786510543807,0.19871818172683717,0.9762239726373392,584161.9853314541,7469186.752434781,589100.8626599482,7469966.169354079,12.519054638262531
586561.794210589,7468889.455116308,A_FO_od,489,0.21809859087751776,0.9759267414397668,-0.0004646870187491305,0.18631299623796874,0.9780697589923788,584121.9773569896,7469434.701593502,589001.6110641884,7468344.208639114,12.021432572206095
593358.5878174953,7455366.329280399,A_FO_od,90,0.6589809712179416,-0.7521596104369459,-0.021003188794937292,0.03973401091069477,0.9961946980917454,595238.9868435877,7457013.781708444,591478.188791403,7453718.876852354,5.000000000000071
584971.1793897664,7477376.059194658,A_FO_od,644,-0.5997374300143365,-0.8001968601786682,0.3789477966831448,0.39050195058606335,0.765250434773991,586971.671540213,7475876.715619622,582970.6872393198,7478875.402769694,40.07072305258348
602495.0049450442,7480501.924292357,A_FOo_bbo,439,0.9907849567444866,-0.1354443409258042,-0.5503073684857376,0.0993264334280152,0.735800690604252,602833.6157973587,7482978.8866842175,602156.3940927297,7478024.961900496,42.62508321929342
601614.8498814455,7480653.171545368,A_FOo_bbo,319,0.9858195137340772,-0.167809077052189,-0.5146391390812776,0.165532176583773,0.7310743575029818,602034.3725740759,7483117.720329703,601195.3271888151,7478188.622761033,43.023462997506535
600883.3203517452,7480618.924978409,A_FOo_bbo,326,0.9623150164031616,0.2719371420107643,-0.4934189295839076,0.1683303114364305,0.7188027825119779,600203.4774967183,7483024.712519417,601563.1632067722,7478213.137437401,44.04427579575479
600268.5093459737,7480399.441137123,A_FOo_bbo,510,0.9118491289371526,0.41052547552686186,-0.5405243625162526,0.11416654046486796,0.7134929791928881,599242.1956571565,7482679.063959465,601294.8230347909,7478119.8183147805,44.480170906630796
599711.445300709,7480281.6890019635,A_FOo_bbo,554,0.9994328509737757,-0.033674565987268215,-0.5343027817373089,0.06335435673376547,0.7041359892143089,599795.6317156772,7482780.271129398,599627.2588857408,7477783.106874529,45.24021586861781
598788.5010894007,7480224.454771051,A_FOo_bbo,609,0.9958660142799012,0.09083436355401674,-0.5746146485733271,-0.03863858075042982,0.6848470111639346,598561.4151805157,7482714.119806751,599015.5869982857,7477734.789735352,46.77642336768104
