X,Y,l,m,n,dip,dip_dir
493841.6918008325,7500291.96844665,0.08230987152024301,-0.45822971830847764,0.885014468982996,27.74669809040401,169.81679585006157
493841.6918008325,7500606.542032837,0.09580598677112848,-0.431680292815958,0.8969243767972521,26.243310177087196,167.486746285045
493841.6918008325,7500921.115619024,0.10128246999559155,-0.4008774216758651,0.9105158724932272,24.42326109740297,165.82083740423263
493841.6918008325,7501235.689205212,0.10009360512717919,-0.3658541071925448,0.9252740364146128,22.290286325975686,164.6989440731811
493841.6918008325,7501550.262791399,0.09360257274545404,-0.3271947588967735,0.940309602272525,19.89638477362044,164.03544456381746
493841.6918008325,7501864.836377586,0.08356037906612787,-0.2869669246785161,0.9542890794674745,17.39065695802232,163.76524803465463
493841.6918008325,7502179.409963774,0.0725435189234552,-0.2502847883686372,0.9654506525832736,15.104833186165152,163.83609142364287
493841.6918008325,7502493.983549961,0.06421062295586599,-0.22697719887480736,0.9717810180748365,13.64378618889306,164.20407848754473
493841.6918008325,7502808.557136148,0.06213653829482906,-0.22919187418548254,0.9713959725138257,13.73700036547892,164.83108775016024
493841.6918008325,7503123.130722336,0.06658990305547406,-0.26092668854744444,0.9630592131404628,15.622005289247696,165.6833980255858
493841.6918008325,7503437.704308523,0.07397834378746629,-0.313712157352266,0.9466318645491766,18.803092521334804,166.7311507384445
493841.6918008325,7503752.27789471,0.08024240921081283,-0.375842993491101,0.9232026863087502,22.60112276449199,167.9483017435681
493841.6918008325,7504066.8514808975,0.08279659957775733,-0.4387180019096097,0.8948023457159688,26.516946990810723,169.31261360807696
493841.6918008325,7504381.425067085,0.08049475701818842,-0.4972714383581309,0.8638528292978025,30.2480296189391,170.8051244755576
493841.6918008325,7504695.998653272,0.07316542907478728,-0.548981917496512,0.8326257708299419,33.63057939908767,172.40865447447175
493841.6918008325,7505010.5722394595,0.0612175000116705,-0.5929573328855356,0.8029034929987496,36.59173309205908,174.1056101853983
493841.6918008325,7505325.145825647,0.045364822236971525,-0.629253672415073,0.7758748923992528,39.115579197514265,175.8765059318314
493841.6918008325,7505639.719411834,0.026434674910395885,-0.6584127122525562,0.7521927334843207,41.219322097895486,177.70086110739908
493841.6918008325,7505954.2929980215,0.005233349897590684,-0.6811765445808307,0.7321004897975203,42.937224232357494,179.55981607872673
493841.6918008325,7506268.866584209,-0.01751331023096337,-0.6983263433812215,0.7155652325990737,44.310458808946706,181.43661839162053
493841.6918008325,7506583.440170396,-0.041119149812090555,-0.7106065334603401,0.7023870515052292,45.381167401732206,183.31171947826832
493841.6918008325,7506898.013756583,-0.06482578005333633,-0.7187132580608192,0.6922780300775685,46.1892936967148,185.15396096211117
493841.6918008325,7507212.587342771,-0.08769351600906411,-0.7233271591276977,0.6849143509361023,46.77112829182927,186.9125929874646
493841.6918008325,7507527.160928958,-0.1085515980949892,-0.7251619046118261,0.6799682070882233,47.15884131667315,188.51355723281617
493841.6918008325,7507841.734515145,-0.12602427617903866,-0.72499547080426,0.67712587391626,47.38054510186512,189.86105914883836
493841.6918008325,7508156.308101333,-0.13863885795732175,-0.7236520420142749,0.6760968785261914,47.46061284974539,190.84543705020664
493841.6918008325,7508470.88168752,-0.1450228620377704,-0.7219119160433414,0.6766177317813991,47.42009728964974,191.35880172305204
493841.6918008325,7508785.455273707,-0.1441642312643161,-0.7203602340494454,0.6784525094833072,47.27716529185852,191.31698243255238
493841.6918008325,7509100.028859895,-0.1356522890772198,-0.7192383273835692,0.6813917264618027,47.04750658540209,190.68083112544122
493841.6918008325,7509414.602446082,-0.11980632734838823,-0.718385939237433,0.6852503821474615,46.74469853255965,189.46816834870387
493841.6918008325,7509729.176032269,-0.09766177203613227,-0.717319667103068,0.6898656923415645,46.38052180631705,187.75304667192896
493841.6918008325,7510043.749618457,-0.07085808989731275,-0.715417610643819,0.6950947945976816,45.965228405076104,185.65637683942813
493841.6918008325,7510358.323204644,-0.04149055256881523,-0.7121378145768852,0.7008125762978233,45.50776648024216,183.33439562172052
493841.6918008325,7510672.896790831,-0.011958312596885382,-0.7072027186381087,0.7069096926133516,45.015967560470784,180.96873998576672
493841.6918008325,7510987.470377019,0.015189382818660918,-0.7007035926608046,0.7132907947547266,44.496701855063925,178.75817498512254
493841.6918008325,7511302.043963206,0.03741845287600075,-0.6930965125346694,0.719872963582218,43.95600692769875,176.90975195009435
493841.6918008325,7511616.617549393,0.052399579769306995,-0.6850762685309745,0.7265843311933421,43.399194434367274,175.62612129280285
493841.6918008325,7511931.191135581,0.05824239178132675,-0.6773379713072714,0.7333628681798257,42.830938967382195,175.08538543650104
493841.6918008325,7512245.764721768,0.05379736047271506,-0.6702805052970222,0.7401553135828569,42.25535241552742,175.4112219158004
493841.6918008325,7512560.338307955,0.03901534350296529,-0.6637725168069152,0.746916226161381,41.67604667406415,176.63612845285797
493841.6918008325,7512874.911894143,0.015256120784386554,-0.6571480289808719,0.7536071382259907,41.09618702945971,178.67007994244273
493841.6918008325,7513189.48548033,-0.01468997108011869,-0.6495279486551888,0.7601957962692557,40.51853810387455,181.29560226675213
493841.6918008325,7513504.059066517,-0.04709947049106138,-0.6403288387292702,0.766655475537145,39.9455038697742,184.2068225781823
493841.6918008325,7513818.632652705,-0.07827381429623118,-0.6296025021918141,0.7729643583175915,39.37916292969541,187.08679760270059
493841.6918008325,7514133.206238892,-0.1054949200053742,-0.6179532917063685,0.7791049679743568,38.82129999339419,189.6879486503765
