X,Y,l,m,angle
494785.4125593945,7498719.100515713,-0.8958242850071765,0.44440842745314957,-63.61450366258972
494785.4125593945,7499033.6741019,-0.9999950325863006,0.0031519522083367727,-89.81940614220713
494785.4125593945,7499348.247688088,-0.9791555915348761,-0.20311161356748395,-101.71897699087936
494785.4125593945,7499662.821274275,-0.9515547883781243,-0.30747924273788463,-107.90738343734034
494785.4125593945,7499977.394860462,-0.9306630811875084,-0.3658773418983108,-111.46158579574913
494785.4125593945,7500291.96844665,-0.9167596776932417,-0.3994392236070256,-113.54312631987459
494785.4125593945,7500606.542032837,-0.9087973739151439,-0.41723774177911815,-114.66031700084704
494785.4125593945,7500921.115619024,-0.9058336032889676,-0.4236336662170811,-115.06420954260756
494785.4125593945,7501235.689205212,-0.9071026362003228,-0.4209095002472916,-114.89202136313413
494785.4125593945,7501550.262791399,-0.9119253068194236,-0.41035622912574377,-114.2272145207663
494785.4125593945,7501864.836377586,-0.9196297570995579,-0.39278634123020134,-113.12798516632202
494785.4125593945,7502179.409963774,-0.9295051261534346,-0.36880919247557753,-111.64219583357169
494785.4125593945,7502493.983549961,-0.9407870561611131,-0.3389981046550353,-109.81584495231246
494785.4125593945,7502808.557136148,-0.9526711081847253,-0.30400289411465703,-107.69818569109503
494785.4125593945,7503123.130722336,-0.9643500330526177,-0.2646299562623539,-105.34496590444921
494785.4125593945,7503437.704308523,-0.975070201797884,-0.22189660106868248,-102.82045396191391
494785.4125593945,7503752.27789471,-0.9842006657284987,-0.1770566281718365,-100.1983634317537
494785.4125593945,7504066.8514808975,-0.9913047640608341,-0.13158595954847963,-97.56124846891773
494785.4125593945,7504381.425067085,-0.9961986267948406,-0.08711082580296037,-94.99741662318658
494785.4125593945,7504695.998653272,-0.9989751330335817,-0.04526238593509675,-92.59422999221458
494785.4125593945,7505010.5722394595,-0.9999721700744411,-0.007460501096642317,-90.4274591912835
494785.4125593945,7505325.145825647,-0.9996791392816021,0.025330189205671448,-88.54853182121873
494785.4125593945,7505639.719411834,-0.9986059388234286,0.052784267983734076,-86.97427807530774
494785.4125593945,7505954.2929980215,-0.9971649866287782,0.07524619220683976,-85.68463194880131
494785.4125593945,7506268.866584209,-0.9956120569075917,0.09357687823514185,-84.6305839532964
494785.4125593945,7506583.440170396,-0.994054869804902,0.10888028204022622,-83.74922723105286
494785.4125593945,7506898.013756583,-0.9925028421455335,0.12222155428989633,-82.97966780966509
494785.4125593945,7507212.587342771,-0.9909248249222721,0.13441722863072517,-82.27507759576754
494785.4125593945,7507527.160928958,-0.9892975636268498,0.14591206462105513,-81.60990160851144
494785.4125593945,7507841.734515145,-0.9876432249440793,0.156719048689235,-80.98349093167141
494785.4125593945,7508156.308101333,-0.9860558716576671,0.16641459662372882,-80.42057887553489
494785.4125593945,7508470.88168752,-0.9847065121577396,0.17422136755903242,-79.96665029410492
494785.4125593945,7508785.455273707,-0.9838105317182502,0.17921171189476987,-79.67615237117893
494785.4125593945,7509100.028859895,-0.9835573852432408,0.1805958746302899,-79.59553026777334
494785.4125593945,7509414.602446082,-0.9840329555781875,0.1779863543535199,-79.74750744274552
494785.4125593945,7509729.176032269,-0.9851771890209952,0.17153980946908595,-80.12264109303163
494785.4125593945,7510043.749618457,-0.9867980571802432,0.1619555319996748,-80.67957944800258
494785.4125593945,7510358.323204644,-0.9886295391118805,0.15037165422855092,-81.35153492802077
494785.4125593945,7510672.896790831,-0.9904030455078258,0.1382092885765051,-82.05576127915887
494785.4125593945,7510987.470377019,-0.9919032772955524,0.1269956239023319,-82.70398481363652
494785.4125593945,7511302.043963206,-0.9929916979105364,0.11818412702537535,-83.21268504425134
494785.4125593945,7511616.617549393,-0.99359545072508,0.11299593045072495,-83.51195315478134
494785.4125593945,7511931.191135581,-0.9936721517540358,0.11231943210551083,-83.55096199131927
494785.4125593945,7512245.764721768,-0.9931680108984977,0.11669319657941392,-83.29870431619315
494785.4125593945,7512560.338307955,-0.991987854006887,0.12633327947461429,-82.74224249651382
494785.4125593945,7512874.911894143,-0.9899961615799753,0.14109429491271291,-81.88882668394291
494785.4125593945,7513189.48548033,-0.9870675943138071,0.16030459836060115,-80.77542336488321
494785.4125593945,7513504.059066517,-0.9831834167252753,0.18262083417949232,-79.47754665270773
494785.4125593945,7513818.632652705,-0.9785181689628454,0.20616060004181258,-78.10255209221191
494785.4125593945,7514133.206238892,-0.973435080183061,0.2289631950095866,-76.76396160320557
494785.4125593945,7514447.779825079,-0.9683722873429487,0.24950974551344796,-75.55149664345174
494785.4125593945,7514762.353411267,-0.9636975564593228,0.2669962914992089,-74.51439342397572
494785.4125593945,7515076.926997454,-0.9596224815971636,0.2812911175513746,-73.66272224622908
494785.4125593945,7515391.500583641,-0.9562001953111307,0.2927134887342153,-72.97952132762715
494785.4125593945,7515706.074169829,-0.953372827247098,0.3017950501033356,-72.43455006041978
494785.4125593945,7516020.647756016,-0.9510271400892097,0.3091073904223876,-71.99455406497847
494785.4125593945,7516335.221342203,-0.9490361445907677,0.3151672512497,-71.62908910868956
495099.9861455818,7494944.217481465,-0.7520070537093115,0.659155058519193,-48.764535452009106
495099.9861455818,7495258.791067652,-0.3432479401252313,0.9392448304887208,-20.074880155966948
495099.9861455818,7495573.36465384,0.15588668257438493,0.9877749451144998,8.968224544787185
495099.9861455818,7495887.938240027,0.45560667794214893,0.8901811922381416,27.10397575020705
495099.9861455818,7496202.511826214,0.5960941274559411,0.802914560344088,36.590669326757066
495099.9861455818,7496517.085412402,0.6594518099927055,0.7517468392333584,41.25807809779534
495099.9861455818,7496831.658998589,0.6828792136020494,0.7305312995554992,43.069046722604114
495099.9861455818,7497146.232584776,0.6801468738769971,0.73307586916727,42.85512135257415
495099.9861455818,7497460.806170964,0.6529636259616822,0.7573892679269837,40.765421047806065
