GROUP_,id,x,y,z,code
Hamersley Group,6148,532463.80357821,7501487.06753388,573.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,531172.41077884,7501486.73834441,598.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,530418.70911618,7501486.4958822,566.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,529735.54628834,7501486.24418653,566.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,529283.51012455,7501486.06090314,563.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,518912.77772736,7509330.46926409,604.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,519982.6783811,7509614.48999586,612.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,520790.33930396,7509810.00019197,571.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,521671.43902988,7509957.01893647,562.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,522846.2688184,7510275.03141922,604.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,523849.76068937,7510813.54871304,570.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,524461.65053024,7511278.55972563,583.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,525049.02032,7511768.06774612,610.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,525112.65720094,7511807.87973055,595.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,525636.48851511,7512135.57720255,596.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,526174.97059272,7512331.08860177,609.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,526786.89931708,7512576.11189434,611.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,527766.01225899,7512845.14814904,620.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,528451.32268977,7512992.15798162,633.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,528965.39037958,7513114.68148617,646.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,529283.53027829,7513310.17996924,640.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,529552.80983001,7513653.19900982,647.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,529650.70078538,7514044.69850962,646.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,529552.83154932,7514338.19016342,636.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,529528.32005479,7514632.18818804,638.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,529748.6604519,7514852.20876835,644.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,530115.82097088,7515146.22031651,645.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,530091.31143778,7515684.22214055,651.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,529846.53825611,7516247.2076062,661.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,516399.80081338,7498690.9206743,613.,Brockman_Iron_Formation
Hamersley Group,6148,516132.40196246,7498877.91262597,552.,Brockman_Iron_Formation
Hamersley Group,6148,514561.90876484,7498203.89843184,651.,Brockman_Iron_Formation
Hamersley Group,6148,514472.00905955,7498277.88919451,651.,Brockman_Iron_Formation
Hamersley Group,6148,514412.7483578,7498326.90143242,651.,Brockman_Iron_Formation
Hamersley Group,6148,514229.46894694,7498441.40168252,637.,Brockman_Iron_Formation
Hamersley Group,6148,514157.74833852,7498379.89919399,637.,Brockman_Iron_Formation
Hamersley Group,6148,513741.68805266,7498159.89932784,637.,Brockman_Iron_Formation
Hamersley Group,6148,513301.14005878,7498061.88151296,630.,Brockman_Iron_Formation
Hamersley Group,6148,512934.01961145,7498037.37152122,621.,Brockman_Iron_Formation
Hamersley Group,6148,512640.29950574,7497963.86951828,621.,Brockman_Iron_Formation
Hamersley Group,6148,512077.39835,7497645.87980624,625.,Brockman_Iron_Formation
Hamersley Group,6148,511734.73884936,7497425.35868735,755.,Brockman_Iron_Formation
Hamersley Group,6148,511367.59776932,7497204.86016635,655.,Brockman_Iron_Formation
Hamersley Group,6148,511000.46968708,7497082.85106702,759.,Brockman_Iron_Formation
Hamersley Group,6148,510682.32864342,7497009.34923349,685.,Brockman_Iron_Formation
Hamersley Group,6148,510559.94887074,7496837.84117895,667.,Brockman_Iron_Formation
Hamersley Group,6148,509972.52904966,7496519.8405476,695.,Brockman_Iron_Formation
Hamersley Group,6148,509727.80870954,7496421.8402682,585.,Brockman_Iron_Formation
Hamersley Group,6148,509066.96913714,7496421.83087004,593.,Brockman_Iron_Formation
Hamersley Group,6148,508724.31014877,7496446.32934258,608.,Brockman_Iron_Formation
Hamersley Group,6148,508406.16882877,7496348.32020692,616.,Brockman_Iron_Formation
Hamersley Group,6148,508039.02863571,7496201.31096933,623.,Brockman_Iron_Formation
Hamersley Group,6148,507769.83022966,7496005.80849499,623.,Brockman_Iron_Formation
Hamersley Group,6148,507598.52025313,7495834.30161165,634.,Brockman_Iron_Formation
Hamersley Group,6148,507353.7390648,7495565.30012818,724.,Brockman_Iron_Formation
Hamersley Group,6148,506839.79019263,7495149.29129947,733.,Brockman_Iron_Formation
Hamersley Group,6148,506178.92853302,7494708.29140381,675.,Brockman_Iron_Formation
Hamersley Group,6148,493527.1182146452,7512279.596256159,601.,Brockman_Iron_Formation
Hamersley Group,6148,493565.91857086,7512308.69165832,601.,Brockman_Iron_Formation
Hamersley Group,6148,493962.62904537,7512427.68859732,590.,Brockman_Iron_Formation
Hamersley Group,6148,494478.40178511,7512467.19885513,593.,Brockman_Iron_Formation
Hamersley Group,6148,495033.77836475,7512427.69992032,593.,Brockman_Iron_Formation
Hamersley Group,6148,495747.89992391,7512269.2096433,598.,Brockman_Iron_Formation
Hamersley Group,6148,496541.33979926,7511991.21130919,604.,Brockman_Iron_Formation
Hamersley Group,6148,496976.48954315,7511828.0590261,601.,Brockman_Iron_Formation
Hamersley Group,6148,497176.08043041,7511753.22043338,607.,Brockman_Iron_Formation
Hamersley Group,6148,497890.21056951,7511396.22926596,607.,Brockman_Iron_Formation
Hamersley Group,6148,498982.9282567,7511046.25168587,600.,Brockman_Iron_Formation
Hamersley Group,6148,499549.72874199,7510884.25098014,605.,Brockman_Iron_Formation
Hamersley Group,6148,499679.24821249,7510576.23910201,620.,Brockman_Iron_Formation
Hamersley Group,6148,499679.26067109,7510333.75079479,623.,Brockman_Iron_Formation
Hamersley Group,6148,499776.45102098,7510236.25026467,607.,Brockman_Iron_Formation
Hamersley Group,6148,499905.99140977,7510171.75943151,607.,Brockman_Iron_Formation
Hamersley Group,6148,500002.43966925,7510192.75906425,607.,Brockman_Iron_Formation
Hamersley Group,6148,500261.56870323,7510192.75949802,611.,Brockman_Iron_Formation
Hamersley Group,6148,500585.48811641,7510127.75984844,708.,Brockman_Iron_Formation
Hamersley Group,6148,500995.7798851,7509976.76058917,682.,Brockman_Iron_Formation
Hamersley Group,6148,501557.2191109,7509739.26992637,632.,Brockman_Iron_Formation
Hamersley Group,6148,502183.44844421,7509458.28887904,612.,Brockman_Iron_Formation
Hamersley Group,6148,502939.23805098,7509156.29085557,600.,Brockman_Iron_Formation
Hamersley Group,6148,503392.69050724,7508875.28973391,617.,Brockman_Iron_Formation
Hamersley Group,6148,504040.5387304,7508681.29024648,599.,Brockman_Iron_Formation
Hamersley Group,6148,504580.39910547,7508767.29808596,593.,Brockman_Iron_Formation
Hamersley Group,6148,504817.91002798,7508853.80939808,597.,Brockman_Iron_Formation
Hamersley Group,6148,505077.05226679,7508961.80918694,669.,Brockman_Iron_Formation
Hamersley Group,6148,505357.75896495,7509112.80760375,598.,Brockman_Iron_Formation
Hamersley Group,6148,505768.05051706,7509177.82029714,620.,Brockman_Iron_Formation
Hamersley Group,6148,506070.36065504,7509156.32003063,644.,Brockman_Iron_Formation
Hamersley Group,6148,506480.6402218,7509091.31985882,590.,Brockman_Iron_Formation
Hamersley Group,6148,506739.76935775,7508940.32114283,615.,Brockman_Iron_Formation
Hamersley Group,6148,507042.09994763,7508832.33040593,574.,Brockman_Iron_Formation
Hamersley Group,6148,507452.37997863,7508789.33021454,609.,Brockman_Iron_Formation
Hamersley Group,6148,507625.1404499,7508896.8382577,668.,Brockman_Iron_Formation
Hamersley Group,6148,507625.12776983,7509026.82809667,572.,Brockman_Iron_Formation
Hamersley Group,6148,507668.30927604,7509134.82815724,572.,Brockman_Iron_Formation
Hamersley Group,6148,507970.60957336,7509177.8404014,572.,Brockman_Iron_Formation
Hamersley Group,6148,508164.95952289,7509091.34084873,560.,Brockman_Iron_Formation
Hamersley Group,6148,508445.69064975,7509004.84919285,574.,Brockman_Iron_Formation
Hamersley Group,6148,508791.18928285,7508853.85128619,558.,Brockman_Iron_Formation
