X,Y,Z,formation
515937.86030956,7499043.41833768,538.,Fault_2843
516084.35138976,7498918.92114254,552.,Fault_2843
516132.40196246,7498877.91262598,552.,Fault_2843
516399.80081338,7498690.9206743,613.,Fault_2843
516446.69074214,7498643.43120897,571.,Fault_2843
516885.9020886,7498199.42979174,613.,Fault_2843
516997.11223369,7498099.42919669,541.,Fault_2843
517453.48725954,7497683.89853831,536.,Fault_2843
517473.77941979,7497665.42163345,536.,Fault_2843
517847.87960707,7497213.92048382,534.,Fault_2843
517992.77992138,7496926.42913488,514.,Fault_2843
518383.93146578,7496275.42011283,514.,Fault_2843
518769.29014774,7495725.92848905,522.,Fault_2843
519033.60405131,7495151.43264908,521.,Fault_2843
519242.8970615987,7494629.643895278,520.,Fault_2843
540273.7614171185,7494629.643895278,500.,Fault_2997
540139.05340998,7494814.13423512,502.,Fault_2997
539420.74387274,7496089.78824517,485.,Fault_2997
539394.93209254,7496135.62297114,489.,Fault_2997
539028.58285976,7496659.63465747,479.,Fault_2997
538598.44607519,7497133.1117222,484.,Fault_2997
538110.63306649,7497524.11207555,481.,Fault_2997
537533.494343,7497858.11327313,491.,Fault_2997
536981.50944426,7498128.61605469,499.,Fault_2997
536416.39474816,7498309.60412959,495.,Fault_2997
535889.29443311,7498465.10473309,495.,Fault_2997
535476.49000407,7498575.61415051,499.,Fault_2997
534479.09627295,7498804.10098736,525.,Fault_2997
526165.3079844399,7494629.643895278,472.,Fault_3496
526035.07836964,7495088.00375303,473.,Fault_3496
525796.65808711,7495764.01378774,489.,Fault_3496
525855.19764379,7496044.01467372,490.,Fault_3496
525794.77713101,7496712.51283815,494.,Fault_3496
525856.83559773,7497705.0160571,475.,Fault_3496
525757.75103567,7498272.01408908,482.,Fault_3496
525089.15708681,7499446.52318718,518.,Fault_3496
524596.27588008,7500098.51540907,540.,Fault_3496
524512.80164159,7500182.00755984,540.,Fault_3496
524248.58790062,7500447.0197916,574.,Fault_3496
523887.39582506,7500808.99943623,574.,Fault_3496
523814.80919092,7500861.50106209,574.,Fault_3496
523576.8901202,7501033.50114164,673.,Fault_3496
523090.59194631,7501408.48978086,570.,Fault_3496
522521.98180311,7501847.49948718,560.,Fault_3496
522422.25158683,7501924.49156487,560.,Fault_3496
522189.26567998,7502103.99834995,547.,Fault_3496
537496.5522121149,7494629.643895278,498.,Fault_3498
536855.69067647,7495537.21949823,476.,Fault_3498
536570.44569593,7495941.11459244,482.,Fault_3498
534479.09627295,7498804.10098736,525.,Fault_3498
534340.19805361,7498999.59891721,510.,Fault_3498
534210.08037376,7499182.60107616,510.,Fault_3498
533285.19194846,7500484.10048948,594.,Fault_3498
533038.92839015,7500854.6003846,580.,Fault_3498
532980.30230737,7500984.59894823,541.,Fault_3498
532914.74969844,7501129.60123437,541.,Fault_3498
532869.00517466,7501231.109522,558.,Fault_3498
532622.25910074,7501487.10041895,573.,Fault_3498
532540.00999317,7501632.11100112,573.,Fault_3498
532401.50813829,7501876.60077593,625.,Fault_3498
532130.46012056,7502165.59858725,663.,Fault_3498
