X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type
518983.319499755,7508600.48432351,Weeli_Wolli_Formation,890.0628323108589,101,-0.9814631587276648,-0.19165090153796466,519941.5740074448,7503693.168529872,518025.0649920652,7513507.800117148,6.550739187671937,full
522165.145864585,7509041.525225463,Weeli_Wolli_Formation,688.8067060972543,277,-0.9646421770590518,-0.2635630289679737,523482.9610094249,7504218.314340168,520847.33071974514,7513864.736110759,23.797159739457953,full
524798.5644314501,7509492.065014158,Weeli_Wolli_Formation,681.8937756026182,247,-0.9999131725954582,-0.013177528982529168,524864.4520763628,7504492.499151181,524732.6767865374,7514491.630877135,21.303096465108396,full
529055.035170825,7510594.404529645,Weeli_Wolli_Formation,737.5451957655216,140,-0.9176922291326408,-0.39729204949201335,531041.495418285,7506005.9433839815,527068.5749233649,7515182.865675309,11.003565224130568,full
532673.18441653,7511808.991150855,Weeli_Wolli_Formation,839.0881410044922,54,-0.9021065257076714,-0.431513402197005,534830.751427515,7507298.458522317,530515.617405545,7516319.523779393,3.737312306544098,full
534820.8249658099,7512406.219417798,Weeli_Wolli_Formation,858.3259947665529,33,-0.9984544289514286,0.0555765535750186,534542.9421979348,7507413.947273041,535098.707733685,7517398.491562556,2.2464146288094327,full
538252.34643369,7511670.60894086,Weeli_Wolli_Formation,860.5363209238322,13,-0.9255583250967452,0.3786050539072448,536359.3211641539,7507042.817315376,540145.3717032262,7516298.400566344,0.8933279813319785,full
515870.2615266187,7494663.527539208,Jeerinah_Formation,2822.9576836252895,2788,0.8349902743337146,0.5502647015465448,513118.93801888596,7498838.478910876,518621.5850343514,7490488.576167539,-999.0,full
518441.1866021531,7494672.536355284,Jeerinah_Formation,4349.970497293561,4296,0.582197529640201,0.8130473765290971,514375.94971950765,7497583.524003485,522506.4234847986,7491761.548707083,-999.0,full
496699.545403685,7513103.22965329,Wittenoom_Formation,764.4332218105503,392,-0.9999999999999306,-3.7246805487173797e-07,496699.54726602527,7508103.22965329,496699.54354134476,7518103.22965329,30.914700838414205,full
500466.710831415,7512233.25324031,Wittenoom_Formation,1610.388429888089,357,-0.9526341788415033,0.3041185974303036,498946.1178442635,7507470.082346102,501987.30381856655,7516996.424134517,12.834355126273678,full
505541.28364992,7510700.05971102,Wittenoom_Formation,1354.2661966329874,336,-0.9767125209079608,0.21455221159805496,504468.52259192977,7505816.49710648,506614.0447079103,7515583.6223155605,14.38435639654844,full
