index,X,Y,Z,formation
130,498820.34038315,7499643.24006585,451.0,Turee_Creek_Group
131,497325.39974535,7499957.21963955,437.0,Turee_Creek_Group
132,496996.49160441,7500659.72058134,456.0,Turee_Creek_Group
133,493527.11821464525,7504699.765738225,513.0,Turee_Creek_Group
134,498790.94962087,7504557.74129159,472.0,Turee_Creek_Group
135,502952.6185535,7504594.28911293,476.0,Turee_Creek_Group
136,505104.85910671,7504614.81084276,500.0,Turee_Creek_Group
137,508373.7703193,7504553.84963666,526.0,Turee_Creek_Group
138,509623.28174484154,7504822.980982702,496.0,Turee_Creek_Group
139,509401.17936875456,7505119.490327083,526.0,Turee_Creek_Group
140,512556.40132917,7505650.40194322,505.0,Turee_Creek_Group
141,514607.09125594,7506056.43016569,514.0,Turee_Creek_Group
142,515486.17144842,7506054.43928292,537.0,Boolgeeda_Iron_Formation
143,518147.55064301,7506708.46830145,529.0,Boolgeeda_Iron_Formation
144,522830.17991646,7507498.02971488,544.0,Boolgeeda_Iron_Formation
145,528251.49777606,7508655.6207957,574.0,Boolgeeda_Iron_Formation
146,533307.4205499,7509955.19974121,610.0,Boolgeeda_Iron_Formation
147,536028.13123955,7510219.199188099,629.0,Boolgeeda_Iron_Formation
148,536007.74996234,7508980.67947744,612.0,Boolgeeda_Iron_Formation
149,535358.02175147,7508351.18076111,609.0,Boolgeeda_Iron_Formation
150,535114.3212855,7507640.660739,601.0,Boolgeeda_Iron_Formation
151,533571.21158163,7506929.661227499,586.0,Boolgeeda_Iron_Formation
152,531730.78077657,7505767.62951459,576.0,Boolgeeda_Iron_Formation
153,529519.73831597,7504721.10139537,565.0,Boolgeeda_Iron_Formation
154,525079.51167416,7504086.52889777,539.0,Boolgeeda_Iron_Formation
155,520271.90028074,7503274.97976098,521.0,Boolgeeda_Iron_Formation
156,517080.59917109,7502644.35628174,521.0,Boolgeeda_Iron_Formation
157,516873.6677060426,7502592.596176075,517.0,Boolgeeda_Iron_Formation
158,514960.5220412419,7506014.799766063,535.0,Boolgeeda_Iron_Formation
159,510438.1499142149,7508408.766961135,525.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
160,514035.31011839,7508953.42058943,536.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
161,516923.33080682,7509295.9608854,565.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
162,517412.83945165,7509467.451953099,580.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
163,513744.86929978797,7500906.984245063,522.0,Weeli_Wolli_Formation
164,513623.12223946,7500775.39992235,520.0,Weeli_Wolli_Formation
165,511544.43949315,7499628.36732751,550.0,Weeli_Wolli_Formation
166,513818.36993938,7501716.39831503,517.0,Boolgeeda_Iron_Formation
167,513385.4606240596,7501375.657377145,506.0,Boolgeeda_Iron_Formation
168,517370.42881591385,7501993.256651895,520.0,Boolgeeda_Iron_Formation
169,516241.76033915,7501804.9294619,522.0,Boolgeeda_Iron_Formation
170,514334.49884595,7501923.40979993,510.0,Boolgeeda_Iron_Formation
171,514060.62744425,7501835.89929229,506.0,Boolgeeda_Iron_Formation
172,493527.11821464525,7508529.282375874,542.0,Weeli_Wolli_Formation
173,499787.17785152,7507913.76270431,594.0,Weeli_Wolli_Formation
174,505959.12109064,7507251.81702401,611.0,Weeli_Wolli_Formation
175,507751.04166651994,7507180.659899384,582.0,Weeli_Wolli_Formation
176,507777.7277929443,7507181.567607195,582.0,Weeli_Wolli_Formation
177,508668.01843126,7507211.85015005,573.0,Weeli_Wolli_Formation
178,511861.60021884,7507442.38983428,522.0,Weeli_Wolli_Formation
179,512792.74388923706,7502336.584249772,496.0,Boolgeeda_Iron_Formation
180,511274.86104140006,7501768.37947287,532.0,Boolgeeda_Iron_Formation
181,509637.68681861344,7501266.967200558,489.0,Boolgeeda_Iron_Formation
182,509615.36164550565,7501265.028071175,489.0,Boolgeeda_Iron_Formation
183,508893.74898206,7501202.34993149,512.0,Boolgeeda_Iron_Formation
184,504517.5092011,7501003.30220603,501.0,Boolgeeda_Iron_Formation
185,504281.15186731133,7500994.617471458,489.0,Boolgeeda_Iron_Formation
186,504255.0272075143,7500993.6575446725,489.0,Boolgeeda_Iron_Formation
187,501781.52021924,7500712.26872659,469.0,Boolgeeda_Iron_Formation
188,493527.11821464525,7499083.344894501,503.0,Boolgeeda_Iron_Formation
189,493557.80944429996,7499078.68146955,503.0,Boolgeeda_Iron_Formation
190,494441.11971331,7498850.18989494,512.0,Boolgeeda_Iron_Formation
191,496201.51916396385,7499355.72663042,458.0,Boolgeeda_Iron_Formation
192,496249.04021784,7499419.19817088,458.0,Boolgeeda_Iron_Formation
193,496518.13924753,7500510.22092276,457.0,Boolgeeda_Iron_Formation
194,501504.85922730726,7499303.420799904,491.0,Boolgeeda_Iron_Formation
195,500886.68913567904,7498981.014867844,465.0,Boolgeeda_Iron_Formation
196,500685.7943069004,7499204.305439256,465.0,Boolgeeda_Iron_Formation
197,500224.61022564,7498889.24026258,481.0,Boolgeeda_Iron_Formation
198,499053.56831555,7498049.22953655,481.0,Boolgeeda_Iron_Formation
199,498794.75861545,7497955.23115464,483.0,Boolgeeda_Iron_Formation
200,497511.4892737406,7498314.913017618,506.0,Boolgeeda_Iron_Formation
201,498741.2671177957,7497366.170019285,501.0,Boolgeeda_Iron_Formation
202,497498.146347642,7497011.504892581,450.0,Boolgeeda_Iron_Formation
203,495639.34597753343,7498027.020194014,503.0,Boolgeeda_Iron_Formation
204,494868.73821439,7497032.1804552,481.0,Boolgeeda_Iron_Formation
205,493561.63091283,7495973.15916676,497.0,Boolgeeda_Iron_Formation
206,493527.11821464525,7505234.257677715,531.0,Boolgeeda_Iron_Formation
207,495651.63096693,7505318.21977284,505.0,Boolgeeda_Iron_Formation
208,499343.15937547,7505061.2492403,492.0,Boolgeeda_Iron_Formation
209,502241.23938337,7505095.29053254,486.0,Boolgeeda_Iron_Formation
210,503421.86460370343,7505101.387281849,483.0,Boolgeeda_Iron_Formation
211,503446.85046368575,7505102.160229246,483.0,Boolgeeda_Iron_Formation
212,505415.24934744,7505217.81938982,535.0,Boolgeeda_Iron_Formation
213,507895.43165168,7505229.840636901,512.0,Boolgeeda_Iron_Formation
214,509185.4436322129,7505346.5835824525,526.0,Boolgeeda_Iron_Formation
215,508968.8018967463,7505675.450998505,532.0,Boolgeeda_Iron_Formation
216,509373.80866844,7505852.35851709,526.0,Boolgeeda_Iron_Formation
217,512053.21886491,7506283.38975987,527.0,Boolgeeda_Iron_Formation
218,514178.83874169,7506621.92036775,521.0,Boolgeeda_Iron_Formation
219,513369.8772682994,7501362.96596774,506.0,Woongarra_Rhyolite
220,512523.39915667,7500870.37710932,515.0,Woongarra_Rhyolite
221,511165.75880909,7500228.85769935,527.0,Woongarra_Rhyolite
222,510885.27042931,7500083.85968586,510.0,Woongarra_Rhyolite
223,509741.4000848889,7500335.148242003,501.0,Woongarra_Rhyolite
224,506532.85358662,7499547.32119641,535.0,Woongarra_Rhyolite
225,505781.38725935976,7499406.6936270865,522.0,Woongarra_Rhyolite
226,506125.2502688187,7499005.2297514565,534.0,Woongarra_Rhyolite
227,504315.17146388,7498585.78103546,504.0,Woongarra_Rhyolite
228,502759.76043606,7497804.75986107,483.0,Woongarra_Rhyolite
229,503542.9332574377,7496947.231276484,503.0,Woongarra_Rhyolite
230,502900.03622072726,7496340.680220397,513.0,Woongarra_Rhyolite
231,502533.6066104243,7496863.513948303,499.0,Woongarra_Rhyolite
232,501930.16080415,7496625.74996203,527.0,Woongarra_Rhyolite
233,499174.40850299,7496338.21926025,474.0,Woongarra_Rhyolite
234,498953.62694874214,7496253.345952926,474.0,Woongarra_Rhyolite
235,498516.06614041224,7496517.190184486,489.0,Woongarra_Rhyolite
236,496418.61986917,7495882.67856796,459.0,Woongarra_Rhyolite
237,496155.05082431,7494756.68099216,489.0,Woongarra_Rhyolite
238,514160.07824515755,7506817.598174593,532.0,Woongarra_Rhyolite
239,515504.56964098,7507238.42887202,539.0,Woongarra_Rhyolite
240,517617.67893754,7507621.45823992,550.0,Woongarra_Rhyolite
241,521252.56925086,7508095.00849236,541.0,Woongarra_Rhyolite
242,524796.65010911,7508809.06023844,569.0,Woongarra_Rhyolite
243,528759.1812103,7509752.14861694,579.0,Woongarra_Rhyolite
244,533510.48006177,7511234.20864266,622.0,Woongarra_Rhyolite
245,537266.72086164,7511153.20205039,636.0,Woongarra_Rhyolite
246,539134.55076838,7509041.66952426,631.0,Woongarra_Rhyolite
247,539012.73026701,7508493.18188565,621.0,Woongarra_Rhyolite
248,537428.93055909,7507011.17165846,605.0,Woongarra_Rhyolite
249,534038.17958641,7505813.14793065,595.0,Woongarra_Rhyolite
250,530728.50931001,7504046.60945971,580.0,Woongarra_Rhyolite
251,530465.3792449997,7503909.425370066,577.0,Woongarra_Rhyolite
252,530319.3128349313,7504032.27263876,577.0,Woongarra_Rhyolite
253,527507.37763055,7503343.05944662,551.0,Woongarra_Rhyolite
254,524313.98066652,7502993.02009031,551.0,Woongarra_Rhyolite
255,518734.54117951,7502246.96818284,524.0,Woongarra_Rhyolite
256,517449.3357488418,7501897.80942279,520.0,Woongarra_Rhyolite
257,517617.04619865544,7501565.652485778,520.0,Woongarra_Rhyolite
258,516806.13917544,7501470.92902863,515.0,Woongarra_Rhyolite
259,514980.20883447,7501302.91042094,535.0,Woongarra_Rhyolite
260,514400.42804629,7501076.89881792,518.0,Woongarra_Rhyolite
261,493527.11821464525,7506357.671621725,531.0,Woongarra_Rhyolite
262,496908.12797068,7506175.23021612,509.0,Woongarra_Rhyolite
263,499657.35110526,7506520.261814199,524.0,Woongarra_Rhyolite
264,501745.52104885,7506485.26936802,502.0,Woongarra_Rhyolite
265,501815.8015806693,7506500.228107201,502.0,Woongarra_Rhyolite
266,501842.5930558928,7506505.930492763,518.0,Woongarra_Rhyolite
267,504372.1086055,7506515.799912401,537.0,Woongarra_Rhyolite
268,508574.4061789002,7506187.640441326,523.0,Woongarra_Rhyolite
269,508256.8704038944,7506674.407828935,549.0,Woongarra_Rhyolite
270,508773.83965724,7506727.33894704,538.0,Woongarra_Rhyolite
271,512959.7419368,7507022.90165453,519.0,Woongarra_Rhyolite
272,511098.0079735897,7499617.1008081185,521.0,Weeli_Wolli_Formation
273,509551.71045729,7499155.35064619,553.0,Weeli_Wolli_Formation
274,507833.70058701,7498954.83097013,548.0,Weeli_Wolli_Formation
275,507387.65004487,7498766.32035366,547.0,Weeli_Wolli_Formation
276,506856.4486193653,7498450.503198152,525.0,Weeli_Wolli_Formation
277,507155.2636213375,7498276.405477699,535.0,Weeli_Wolli_Formation
278,506124.21025576,7497875.80033204,521.0,Weeli_Wolli_Formation
279,504124.39168217,7497243.77984678,506.0,Weeli_Wolli_Formation
280,499655.8179176904,7495826.942372672,492.0,Weeli_Wolli_Formation
281,498958.74163834,7495451.71013849,506.0,Weeli_Wolli_Formation
282,498359.68124991,7494732.69828137,508.0,Weeli_Wolli_Formation
283,504881.2899033824,7494633.706766835,566.0,Weeli_Wolli_Formation
284,504519.31900496,7494727.27055527,560.0,Weeli_Wolli_Formation
285,503285.39976784,7494676.750304401,523.0,Weeli_Wolli_Formation
286,511526.0129283021,7511925.832031642,551.0,Jeerinah_Formation
287,513868.05762126,7512128.90125229,552.0,Jeerinah_Formation
288,514899.84079739,7512447.9183653,568.0,Jeerinah_Formation
289,516950.17910833,7512996.9382229,560.0,Jeerinah_Formation
290,517536.82159765,7513324.44956408,559.0,Jeerinah_Formation
291,543292.8592638974,7494629.643895278,538.0,Jeerinah_Formation
292,545175.31905178,7494736.14963838,540.0,Jeerinah_Formation
293,547621.69996972,7495652.16833752,551.0,Jeerinah_Formation
294,548207.39074208,7495776.17008776,552.0,Jeerinah_Formation
295,549506.21239416,7496087.18791441,544.0,Jeerinah_Formation
296,551619.35050014,7496470.70824526,545.0,Jeerinah_Formation
297,553873.40726405,7497069.22874199,557.0,Jeerinah_Formation
298,555516.146401663,7496903.211675779,566.0,Jeerinah_Formation
299,555698.27065317,7497002.25090147,567.0,Jeerinah_Formation
300,556164.77166751,7497476.75923684,585.0,Jeerinah_Formation
301,527989.1321683651,7501093.758504495,544.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
302,526591.88981018,7500682.03115599,532.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
303,525164.74149011,7500478.01038839,553.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
304,521588.3817254504,7500713.701949331,575.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
305,519321.97986743,7499823.94797189,525.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
306,518968.1756635026,7499549.007016614,520.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
307,518997.1848225703,7499387.501674371,524.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
308,517461.88110867,7498453.43053188,534.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
309,522249.95825072477,7500072.981502291,552.0,Wittenoom_Formation
310,519637.33970909996,7499435.95032536,514.0,Wittenoom_Formation
311,519111.767893185,7499085.720226312,524.0,Wittenoom_Formation
312,519189.53477518685,7498808.957019739,515.0,Wittenoom_Formation
313,517576.33932652,7497748.93173469,536.0,Wittenoom_Formation
314,518856.2900519914,7513142.12541205,566.0,Jeerinah_Formation
315,518871.58863019,7513177.46155147,566.0,Jeerinah_Formation
316,518968.77945902,7513552.45823161,592.0,Jeerinah_Formation
317,519065.14118271,7513761.96003155,601.0,Jeerinah_Formation
318,519238.95625136,7514668.94624138,610.0,Jeerinah_Formation
319,519282.04083987,7514866.43473525,610.0,Jeerinah_Formation
320,519392.47750657,7515090.17748122,596.0,Jeerinah_Formation
321,519238.95625136,7514668.94624138,610.0,Jeerinah_Formation
322,519177.62875814,7514563.66678722,611.0,Jeerinah_Formation
323,519018.35662567,7514432.16913719,611.0,Jeerinah_Formation
324,519103.87530865,7514306.95324823,634.0,Jeerinah_Formation
325,518968.77945902,7513552.45823161,592.0,Jeerinah_Formation
326,547764.9297779603,7510350.434752032,587.0,Jeerinah_Formation
327,547123.42154846,7509784.1305714995,571.0,Jeerinah_Formation
328,546760.17189473,7508297.15162212,580.0,Jeerinah_Formation
329,546098.20918874,7506843.14860294,566.0,Jeerinah_Formation
330,544943.52183298,7504761.65970015,544.0,Jeerinah_Formation
331,543357.14034919,7502835.65126185,525.0,Jeerinah_Formation
332,540434.9686215001,7500840.14040923,525.0,Jeerinah_Formation
333,538476.5108094,7499571.63122786,508.0,Jeerinah_Formation
334,537903.11974848,7499358.13028754,494.0,Jeerinah_Formation
335,536356.47019615,7499080.11950446,503.0,Jeerinah_Formation
336,534225.2438334881,7499178.531705108,510.0,Jeerinah_Formation
337,534326.9077286279,7499001.033844558,510.0,Jeerinah_Formation
338,533821.50949274,7499055.60058806,507.0,Jeerinah_Formation
339,531257.250016,7499404.57940736,520.0,Jeerinah_Formation
340,530073.73089448,7499647.07012578,512.0,Jeerinah_Formation
341,527979.74929199,7499328.5417763,502.0,Jeerinah_Formation
342,525344.555691165,7499018.081952954,517.0,Jeerinah_Formation
343,525323.5354382729,7499014.580489381,517.0,Jeerinah_Formation
344,524869.23876561,7498918.51084629,501.0,Jeerinah_Formation
345,523609.87046645,7498706.48913864,510.0,Jeerinah_Formation
346,523301.66977703787,7498630.076919503,500.0,Jeerinah_Formation
347,521882.68120584,7497821.95909606,494.0,Jeerinah_Formation
348,521208.34053025,7497768.461113701,495.0,Jeerinah_Formation
349,520246.91878872,7497531.94194344,503.0,Jeerinah_Formation
350,519791.9410330858,7497415.959913788,497.0,Jeerinah_Formation
351,520201.70876547525,7496264.298594778,519.0,Jeerinah_Formation
352,519770.750771476,7495910.099075837,509.0,Jeerinah_Formation
353,522981.845428395,7498274.23395211,490.0,Jeerinah_Formation
354,523067.89991335,7498311.98978047,490.0,Jeerinah_Formation
355,523609.87046645,7498706.48913864,510.0,Jeerinah_Formation
356,555261.815971768,7516492.022879522,638.0,Jeerinah_Formation
357,555039.7420314,7514839.63079543,609.0,Jeerinah_Formation
358,551928.04894472,7513125.13168281,631.0,Jeerinah_Formation
359,551514.23113611,7513032.11907498,608.0,Jeerinah_Formation
360,549973.87987323,7512734.61860807,603.0,Jeerinah_Formation
361,548413.86996265,7510999.63763992,596.0,Jeerinah_Formation
362,548249.1553871727,7510802.59391084,610.0,Jeerinah_Formation
363,548265.4405433658,7510615.782459535,576.0,Jeerinah_Formation
364,548214.5917594,7510548.64063064,576.0,Jeerinah_Formation
365,510932.2908917574,7508049.757436784,519.0,Brockman_Iron_Formation
366,513736.20769984,7508616.40974935,563.0,Brockman_Iron_Formation
367,516932.12944447,7508983.448732001,587.0,Brockman_Iron_Formation
368,517364.0103144,7509199.45866394,598.0,Brockman_Iron_Formation
369,523078.5568012842,7501405.148133703,570.0,Brockman_Iron_Formation
370,521225.2012418082,7501026.949760011,628.0,Brockman_Iron_Formation
371,521198.37658663094,7501022.685718563,628.0,Brockman_Iron_Formation
372,519976.91006078,7500799.46789149,627.0,Brockman_Iron_Formation
373,519631.44173262,7500691.46114408,613.0,Brockman_Iron_Formation
374,518847.7619360063,7499937.444814485,526.0,Brockman_Iron_Formation
375,518902.77789975354,7499692.309142197,520.0,Brockman_Iron_Formation
376,518636.6301317,7499603.94897934,536.0,Brockman_Iron_Formation
377,516752.10979200003,7498820.42116343,613.0,Brockman_Iron_Formation
378,519343.3306279139,7509278.41234254,622.0,Brockman_Iron_Formation
379,521858.95929696,7509706.58503641,572.0,Brockman_Iron_Formation
380,524162.85905036,7510539.051478799,577.0,Brockman_Iron_Formation
381,524788.12910954,7510968.56984444,680.0,Brockman_Iron_Formation
382,525715.24123919,7511806.88528093,604.0,Brockman_Iron_Formation
383,527179.35841707,7512292.118612401,692.0,Brockman_Iron_Formation
384,529082.38106679,7512568.19015911,810.0,Brockman_Iron_Formation
385,529892.52033635,7513079.69810155,779.0,Brockman_Iron_Formation
386,530099.42050291,7513784.71054115,653.0,Brockman_Iron_Formation
387,529694.6298466,7514468.70040679,643.0,Brockman_Iron_Formation
388,530218.74973763,7514643.22044265,656.0,Brockman_Iron_Formation
389,530826.1293182,7514807.238458,690.0,Brockman_Iron_Formation
390,530830.25874388,7514986.23843761,728.0,Brockman_Iron_Formation
391,530488.41843453,7515419.23045467,731.0,Brockman_Iron_Formation
392,530702.4178875999,7516200.23931346,929.0,Brockman_Iron_Formation
393,547195.6904279725,7516492.022879522,1066.0,Brockman_Iron_Formation
394,546311.36066494,7515485.1602855,938.0,Brockman_Iron_Formation
395,545260.53229086,7515172.65778932,979.0,Brockman_Iron_Formation
396,544043.07020959,7513263.66124864,863.0,Brockman_Iron_Formation
397,543333.6222507,7512333.14920601,695.0,Brockman_Iron_Formation
398,541927.23956126,7512614.17993348,779.0,Brockman_Iron_Formation
