X,Y,id,left_fm,right_fm,min_offset,strat_offset
514442.37870867504,7498302.395313465,Fault_2235,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Brockman_Iron_Formation,0.0,001
514321.10865237,7498384.15155747,Fault_2235,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Brockman_Iron_Formation,0.0,001
514197.47154043,7498461.4010266,Fault_2235,Brockman_Iron_Formation,Brockman_Iron_Formation,0.0,000
513595.614238195,7499006.392337535,Fault_2235,Brockman_Iron_Formation,Brockman_Iron_Formation,0.0,000
522755.678522445,7511694.5469740145,Fault_2248,Marra_Mamba_Iron_Formation,Marra_Mamba_Iron_Formation,0.0,000
522563.58621107996,7511950.09689345,Fault_2248,Marra_Mamba_Iron_Formation,Marra_Mamba_Iron_Formation,0.0,000
522231.820505795,7512347.5206015445,Fault_2248,Jeerinah_Formation,Jeerinah_Formation,0.0,000
521605.27994312,7512984.255485484,Fault_2248,Jeerinah_Formation,Fortescue_Group,0.0,001
520874.455352745,7513761.479655945,Fault_2248,Fortescue_Group,Jeerinah_Formation,0.0,001
520235.571710845,7514484.2140193805,Fault_2248,Jeerinah_Formation,Fortescue_Group,0.0,001
519783.26227445505,7514983.200437546,Fault_2248,Jeerinah_Formation,Jeerinah_Formation,0.0,000
519558.949835965,7515286.691042195,Fault_2248,Jeerinah_Formation,Jeerinah_Formation,0.0,000
519449.245270485,7515450.10217027,Fault_2248,Jeerinah_Formation,Jeerinah_Formation,0.0,000
519229.788291335,7515704.10091558,Fault_2248,Bunjinah_Formation,Jeerinah_Formation,250.0,002
518795.04088111944,7516207.230520781,Fault_2248,Bunjinah_Formation,Bunjinah_Formation,0.0,000
510039.46204306,7497168.381848009,Fault_2688,Brockman_Iron_Formation,Brockman_Iron_Formation,0.0,000
508752.738784845,7497645.08447662,Fault_2688,Brockman_Iron_Formation,Brockman_Iron_Formation,0.0,000
507610.157503525,7498087.32837749,Fault_2688,Brockman_Iron_Formation,Brockman_Iron_Formation,0.0,000
507004.14955342,7498364.32053674,Fault_2688,Weeli_Wolli_Formation,Brockman_Iron_Formation,0.0,001
506490.783616225,7498726.566920999,Fault_2688,Weeli_Wolli_Formation,Weeli_Wolli_Formation,0.0,000
505952.53415988,7499206.81049392,Fault_2688,Woongarra_Rhyolite,Weeli_Wolli_Formation,0.0,001
505307.221749525,7499881.310798435,Fault_2688,Woongarra_Rhyolite,Woongarra_Rhyolite,0.0,000
504334.64818683,7500920.716638495,Fault_2688,Woongarra_Rhyolite,Woongarra_Rhyolite,0.0,000
500118.435747165,7499967.24447189,Fault_2689,Turee_Creek_Group,Boolgeeda_Iron_Formation,0.0,001
500271.31093595,7499787.749587025,Fault_2689,Turee_Creek_Group,Boolgeeda_Iron_Formation,0.0,001
500428.682290965,7499564.250977719,Fault_2689,Boolgeeda_Iron_Formation,Boolgeeda_Iron_Formation,0.0,000
