X,Y,Z,azimuth,dip,polarity,formation
520225.2446093901,7500853.469982957,627.0,347.73163087906784,9.359260214134268,1,Brockman_Iron_Formation
518769.7040157268,7499648.129060768,520.0,341.63400735825894,13.608732323598757,1,Brockman_Iron_Formation
521630.524541935,7509658.29701805,574.0,168.0641580926798,20.20647382149824,1,Brockman_Iron_Formation
524077.144053815,7510571.30527574,577.0,200.62087596836486,19.35282173456888,1,Brockman_Iron_Formation
524708.53018518,7510949.8149513,680.0,166.74192926943078,17.792957107601172,1,Brockman_Iron_Formation
525628.39027052,7511700.738880375,637.0,129.29067226230256,14.393499541847474,1,Brockman_Iron_Formation
526972.604714355,7512280.61926571,632.0,176.81657015248751,12.222217692712276,1,Brockman_Iron_Formation
528904.08608859,7512521.430257657,783.0,165.30448308113864,9.779464345964044,1,Brockman_Iron_Formation
530114.91593485,7513698.710154755,660.0,79.78611295068242,6.663390744684563,1,Brockman_Iron_Formation
529692.1008728449,7514453.199224778,643.0,99.26600789355335,6.614820812531406,1,Brockman_Iron_Formation
530183.43382806,7514631.720347892,644.0,161.96293965401594,5.7243057969088085,1,Brockman_Iron_Formation
530808.7498184701,7514802.99259176,690.0,166.27137195850742,4.5148424029398635,1,Brockman_Iron_Formation
530845.5281783349,7514954.23893871,728.0,64.49058297443854,4.5148424029398635,1,Brockman_Iron_Formation
530486.753618385,7515381.985769817,731.0,92.5593849500487,4.595882358649618,1,Brockman_Iron_Formation
530711.263139605,7516047.49552149,929.0,86.68575571715219,3.2127888783445684,1,Brockman_Iron_Formation
546334.25908628,7515618.654610825,938.0,279.7332822285605,8.424644562780912,1,Brockman_Iron_Formation
545391.075629085,7515206.9033993585,1006.0,345.300736539184,10.369429125678252,1,Brockman_Iron_Formation
544031.295806995,7513457.91001786,863.0,266.53125647391965,11.878642664762893,1,Brockman_Iron_Formation
543498.05635662,7512236.149165479,695.0,30.536447981331662,10.648271761581924,1,Brockman_Iron_Formation
541817.8749971499,7512739.175399181,725.0,228.81575416566625,6.487453716935505,1,Brockman_Iron_Formation
542864.76497998,7511004.91016771,783.0,259.2203014233752,9.007215126236844,1,Brockman_Iron_Formation
542349.0645005701,7508801.410398515,804.0,304.99980165463984,6.2844328112194034,1,Brockman_Iron_Formation
541755.235083645,7506394.9068234665,710.0,299.3342880163654,7.5556445986222505,1,Brockman_Iron_Formation
539364.350075415,7504504.1499931635,625.0,340.6916660694987,11.181053398815308,1,Brockman_Iron_Formation
536473.479060825,7504097.894894901,737.0,355.56518826355585,4.145588850782062,1,Brockman_Iron_Formation
535082.714961725,7502582.134707665,739.0,321.3456292956366,5.525051242070134,1,Brockman_Iron_Formation
532335.7954507726,7501996.906016046,625.0,37.419833055885135,21.588385327877816,1,Brockman_Iron_Formation
528878.9955999351,7501785.065531434,562.0,356.21580671687866,30.093744188434968,1,Brockman_Iron_Formation
495390.83914433,7512348.45478181,598.0,192.5132552281791,38.2414419004429,1,Brockman_Iron_Formation
498436.569413105,7511221.240475915,606.0,197.7593162444069,25.138362182035717,1,Brockman_Iron_Formation
499841.221215375,7510204.00484809,607.0,206.46611663949116,16.598887492775148,1,Brockman_Iron_Formation
501276.49949799996,7509858.01525777,598.0,202.92852398773263,9.988105136865029,1,Brockman_Iron_Formation
504310.468917935,7508724.29416622,599.0,170.9479967870104,7.2707393131905045,1,Brockman_Iron_Formation
505919.20558605,7509167.070163885,644.0,184.06802054758785,15.003693228550587,1,Brockman_Iron_Formation
507538.760214265,7508843.08423612,609.0,148.10618655174932,23.139247725360264,1,Brockman_Iron_Formation
508305.32508632,7509048.09502079,560.0,197.1237662854013,26.73347778527607,1,Brockman_Iron_Formation
512782.6690970704,7497998.083803398,621.0,345.4482729357127,24.97608638623937,1,Brockman_Iron_Formation
510841.39916525,7497046.100150255,744.0,346.9909064323054,14.156530072673716,1,Brockman_Iron_Formation
